,DET_FLIP_ONE_BIT,DET_FLIP_TWO_BITS,DET_FLIP_FOUR_BITS,DET_FLIP_ONE_BYTE,DET_FLIP_TWO_BYTES,DET_FLIP_FOUR_BYTES,DET_ARITH_ADD_ONE,DET_ARITH_SUB_ONE,DET_ARITH_ADD_TWO_LE,DET_ARITH_SUB_TWO_LE,DET_ARITH_ADD_TWO_BIG,DET_ARITH_SUB_TWO_BIG,DET_ARITH_ADD_FOUR_LE,DET_ARITH_SUB_FOUR_LE,DET_ARITH_ADD_FOUR_BIG,DET_ARITH_SUB_FOUR_BIG,INTERESTING_BYTE,INTERESTING_TWO_BYTES_LE,INTERESTING_TWO_BYTES_BIG,INTERESTING_FOUR_BYTES_LE,INTERESTING_FOUR_BYTES_BIG,HAVOC_MUT_FLIPBIT,HAVOC_MUT_INTERESTING8,HAVOC_MUT_INTERESTING16,HAVOC_MUT_INTERESTING16BE,HAVOC_MUT_INTERESTING32,HAVOC_MUT_INTERESTING32BE,HAVOC_MUT_ARITH8_,HAVOC_MUT_ARITH8,HAVOC_MUT_ARITH16_,HAVOC_MUT_ARITH16BE_,HAVOC_MUT_ARITH16,HAVOC_MUT_ARITH16BE,HAVOC_MUT_ARITH32_,HAVOC_MUT_ARITH32BE_,HAVOC_MUT_ARITH32,HAVOC_MUT_ARITH32BE,HAVOC_MUT_RAND8,HAVOC_MUT_BYTEADD,HAVOC_MUT_BYTESUB,HAVOC_MUT_FLIP8,DICTIONARY_USER_EXTRAS_OVER,DICTIONARY_USER_EXTRAS_INSERT,DICTIONARY_AUTO_EXTRAS_OVER,DICTIONARY_AUTO_EXTRAS_INSERT,CUSTOM_MUTATOR,HAVOC
3067,0.182390,0.029940,0.029940,0.044025,0.000000,0,0.371069,0.371069,0.167665,0.155689,0.197605,0.161677,0,0,0,0,0,0,0,0,0,0.182390,0,0,0,0,0,0.371069,0.371069,0.155689,0.161677,0.167665,0.197605,0,0,0,0,0,0.371069,0.371069,0,0,0,0,0,0,0
3068,0.184932,0.027397,0.027397,0.089041,0.000000,0,0.356164,0.369863,0.239726,0.143836,0.171233,0.157534,0,0,0,0,0,0,0,0,0,0.184932,0,0,0,0,0,0.369863,0.356164,0.143836,0.157534,0.239726,0.171233,0,0,0,0,0,0.356164,0.369863,0,0,0,0,0,0,0
3069,0.198381,0.015748,0.015748,0.060729,0.000000,0,0.388664,0.327935,0.185039,0.165354,0.177165,0.153543,0,0,0,0,0,0,0,0,0,0.198381,0,0,0,0,0,0.327935,0.388664,0.165354,0.153543,0.185039,0.177165,0,0,0,0,0,0.388664,0.327935,0,0,0,0,0,0,0
3070,0.175904,0.023121,0.023121,0.045783,0.001927,0,0.327711,0.334940,0.175337,0.144509,0.167630,0.179191,0,0,0,0,0,0,0,0,0,0.175904,0,0,0,0,0,0.334940,0.327711,0.144509,0.179191,0.175337,0.167630,0,0,0,0,0,0.327711,0.334940,0,0,0,0,0,0,0
3071,0.194366,0.017903,0.017903,0.050704,0.000000,0,0.391549,0.357746,0.161125,0.161125,0.166240,0.171355,0,0,0,0,0,0,0,0,0,0.194366,0,0,0,0,0,0.357746,0.391549,0.161125,0.171355,0.161125,0.166240,0,0,0,0,0,0.391549,0.357746,0,0,0,0,0,0,0
3072,0.143371,0.015235,0.015235,0.032993,0.000554,0,0.304139,0.302340,0.163435,0.165928,0.178393,0.188920,0,0,0,0,0,0,0,0,0,0.143371,0,0,0,0,0,0.302340,0.304139,0.165928,0.188920,0.163435,0.178393,0,0,0,0,0,0.304139,0.302340,0,0,0,0,0,0,0
3073,0.136871,0.013953,0.013953,0.031092,0.000436,0,0.283542,0.277121,0.164826,0.160756,0.185029,0.193023,0,0,0,0,0,0,0,0,0,0.136871,0,0,0,0,0,0.277121,0.283542,0.160756,0.193023,0.164826,0.185029,0,0,0,0,0,0.283542,0.277121,0,0,0,0,0,0,0
3074,0.158798,0.020548,0.020548,0.045780,0.001957,0,0.327611,0.343348,0.168297,0.177104,0.175147,0.168297,0,0,0,0,0,0,0,0,0,0.158798,0,0,0,0,0,0.343348,0.327611,0.177104,0.168297,0.168297,0.175147,0,0,0,0,0,0.327611,0.343348,0,0,0,0,0,0,0
3075,0.162295,0.020482,0.020482,0.036066,0.002410,0,0.331148,0.345902,0.178313,0.174699,0.169880,0.168675,0,0,0,0,0,0,0,0,0,0.162295,0,0,0,0,0,0.345902,0.331148,0.174699,0.168675,0.178313,0.169880,0,0,0,0,0,0.331148,0.345902,0,0,0,0,0,0,0
3076,0.142170,0.017351,0.017351,0.032808,0.001119,0,0.295713,0.278215,0.151306,0.165112,0.180597,0.194030,0,0,0,0,0,0,0,0,0,0.142170,0,0,0,0,0,0.278215,0.295713,0.165112,0.194030,0.151306,0.180597,0,0,0,0,0,0.295713,0.278215,0,0,0,0,0,0,0
